date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:05:44	6775/6775	---MCZ	200	added ('OK')	text/html	etag:W/%2270090578bf00701766282858c38730c3%22	https://www.katherineoelsner.com/	D:/Working%20doc/Portfolio/www.katherineoelsner.com/index.html	(from )
18:05:44	1014/1014	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22a08a586b35984e5e4f9c6db2eba392fa%22	https://www.katherineoelsner.com/robots.txt		(from )
18:05:44	1386/1386	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2004%20Mar%202025%2012:05:46%20GMT	https://plausible.io/js/plausible.js	D:/Working%20doc/Portfolio/plausible.io/js/plausible.js	(from https://www.katherineoelsner.com/)
18:05:44	5339/5339	---MCZ	200	added ('OK')	text/css	etag:W/%22c2ef97ddc454eed35b1310dfd9cc1b02%22	https://www.katherineoelsner.com/_next/static/css/363e82ddf538dd0849a7.css	D:/Working%20doc/Portfolio/www.katherineoelsner.com/_next/static/css/363e82ddf538dd0849a7.css	(from https://www.katherineoelsner.com/)
18:05:45	91434/91434	---MCZ	200	added ('OK')	application/javascript	etag:W/%2299442aec5788bccac9b2f0ead2afdd6b%22	https://www.katherineoelsner.com/_next/static/chunks/polyfills-a40ef1678bae11e696dba45124eadd70.js	D:/Working%20doc/Portfolio/www.katherineoelsner.com/_next/static/chunks/polyfills-a40ef1678bae11e696dba45124eadd70.js	(from https://www.katherineoelsner.com/)
18:05:45	3654/3654	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fc7895f240a206d2fcbf5d0749a754da%22	https://www.katherineoelsner.com/_next/static/chunks/webpack-f1ed3615369f93810d68.js	D:/Working%20doc/Portfolio/www.katherineoelsner.com/_next/static/chunks/webpack-f1ed3615369f93810d68.js	(from https://www.katherineoelsner.com/)
18:05:46	131622/131622	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e76a06f9d7aa0a4c8193b0022958ccb3%22	https://www.katherineoelsner.com/_next/static/chunks/framework-9d7cae20fc5c4d04a6d1.js	D:/Working%20doc/Portfolio/www.katherineoelsner.com/_next/static/chunks/framework-9d7cae20fc5c4d04a6d1.js	(from https://www.katherineoelsner.com/)
18:05:46	77355/77355	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ee260789b7237b8b69d5ea521f4fae35%22	https://www.katherineoelsner.com/_next/static/chunks/main-75772fcf59f94cd717f4.js	D:/Working%20doc/Portfolio/www.katherineoelsner.com/_next/static/chunks/main-75772fcf59f94cd717f4.js	(from https://www.katherineoelsner.com/)
18:05:47	90147/90147	---MCZ	200	added ('OK')	application/javascript	etag:W/%22bdb5d83bbb08c239f927b8a2401ad85d%22	https://www.katherineoelsner.com/_next/static/chunks/pages/_app-c1e7640a14f0abe063e5.js	D:/Working%20doc/Portfolio/www.katherineoelsner.com/_next/static/chunks/pages/_app-c1e7640a14f0abe063e5.js	(from https://www.katherineoelsner.com/)
18:05:47	2779/2779	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a4e0b80df4466d17628d227833cfeb4f%22	https://www.katherineoelsner.com/_next/static/chunks/a9a7754c-b894bb1861f15ce2ce09.js	D:/Working%20doc/Portfolio/www.katherineoelsner.com/_next/static/chunks/a9a7754c-b894bb1861f15ce2ce09.js	(from https://www.katherineoelsner.com/)
18:06:09	4912/4912	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e5a3355a58a0757f4f0535f07e9bd94b%22	https://www.katherineoelsner.com/_next/static/chunks/pages/index-43f2ec96fa350846854c.js	D:/Working%20doc/Portfolio/www.katherineoelsner.com/_next/static/chunks/pages/index-43f2ec96fa350846854c.js	(from https://www.katherineoelsner.com/)
18:06:09	570/570	---M--	200	added ('OK')	application/javascript	etag:%222cb9b1462b774d52ffc7dad456422192%22	https://www.katherineoelsner.com/_next/static/6fe8an5FJW2lDw2zV0IuC/_buildManifest.js	D:/Working%20doc/Portfolio/www.katherineoelsner.com/_next/static/6fe8an5FJW2lDw2zV0IuC/_buildManifest.js	(from https://www.katherineoelsner.com/)
18:06:10	77/77	---M--	200	added ('OK')	application/javascript	etag:%22b6652df95db52feb4daf4eca35380933%22	https://www.katherineoelsner.com/_next/static/6fe8an5FJW2lDw2zV0IuC/_ssgManifest.js	D:/Working%20doc/Portfolio/www.katherineoelsner.com/_next/static/6fe8an5FJW2lDw2zV0IuC/_ssgManifest.js	(from https://www.katherineoelsner.com/)
18:06:11	42715/42715	---MCZ	200	added ('OK')	application/javascript	etag:W/%226c518a7870ecefca960316cfa3db60e2%22	https://www.katherineoelsner.com/_next/static/chunks/643-097cc94d8ecd533f671e.js	D:/Working%20doc/Portfolio/www.katherineoelsner.com/_next/static/chunks/643-097cc94d8ecd533f671e.js	(from https://www.katherineoelsner.com/)
18:06:12	2355278/2355278	---M--	200	added ('OK')	image/jpeg	etag:%223a7c5aa0050a9d4404bd69c43b3818a9%22	https://www.katherineoelsner.com/katherine.jpg	D:/Working%20doc/Portfolio/www.katherineoelsner.com/katherine.jpg	(from https://www.katherineoelsner.com/)
